JobId,UserId,GroupId,Name,JobState,Partition,TimeLimit,StartTime,EndTime,NodeList,NodeCnt,ProcCnt,WorkDir,ReservationName,Tres,Account,QOS,WcKey,Cluster,SubmitTime,EligibleTime,DerivedExitCode,ExitCode
261,luizfl(1023),luizfl(1023),errado,COMPLETED,normal,1,2024-03-01T07:07:00,2024-03-01T07:07:06,compute01,1,4,/home/luizfl/scratch,,"cpu=4,mem=1G,node=1,billing=4",,,,unknown,2024-03-01T07:07:00,2024-03-01T07:07:00,0:0,0:0
262,lincolnrpm(1035),lincolnrpm(1035),sleeps.slurm,FAILED,normal,20,2024-03-01T07:07:12,2024-03-01T07:07:13,compute00,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:07:12,2024-03-01T07:07:12,0:0,13:0
263,luizfl(1023),luizfl(1023),bash,COMPLETED,normal,20,2024-03-01T07:07:17,2024-03-01T07:08:22,compute00,1,1,/home/luizfl/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:07:17,2024-03-01T07:07:17,0:0,0:0
259,caiorp(1034),caiorp(1034),teste_job,TIMEOUT,express,2,2024-03-01T07:06:12,2024-03-01T07:08:31,compute01,1,1,/home/caiorp/scratch,,"cpu=1,mem=1G,node=1,billing=1",,,,unknown,2024-03-01T07:06:12,2024-03-01T07:06:12,0:0,0:0
264,domrsfs(1036),domrsfs(1036),meu_job,COMPLETED,normal,1,2024-03-01T07:07:46,2024-03-01T07:08:46,compute02,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:07:46,2024-03-01T07:07:46,0:0,0:0
265,lincolnrpm(1035),lincolnrpm(1035),sleeps,TIMEOUT,express,1,2024-03-01T07:08:00,2024-03-01T07:09:01,compute01,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:07:59,2024-03-01T07:07:59,0:0,0:0
269,caiobt1(1038),caiobt1(1038),teste.sh,FAILED,normal,20,2024-03-01T07:10:29,2024-03-01T07:10:29,compute03,1,1,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:10:29,2024-03-01T07:10:29,0:0,13:0
266,domrsfs(1036),domrsfs(1036),meu_job,COMPLETED,normal,1,2024-03-01T07:09:38,2024-03-01T07:10:38,compute00,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:09:38,2024-03-01T07:09:38,0:0,0:0
270,lincolnrpm(1035),lincolnrpm(1035),sleeps,CANCELLED,express,1,2024-03-01T07:10:32,2024-03-01T07:11:02,compute02,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:10:31,2024-03-01T07:10:31,0:0,0:0
267,domrsfs(1036),domrsfs(1036),meu_job,COMPLETED,normal,1,2024-03-01T07:10:02,2024-03-01T07:11:02,compute01,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:10:01,2024-03-01T07:10:01,0:0,0:0
