JobId,UserId,GroupId,Name,JobState,Partition,TimeLimit,StartTime,EndTime,NodeList,NodeCnt,ProcCnt,WorkDir,ReservationName,Tres,Account,QOS,WcKey,Cluster,SubmitTime,EligibleTime,DerivedExitCode,ExitCode
23,admin(1000),admin(1000),hello_world,FAILED,normal,1440,2024-02-02T13:40:29,2024-02-02T13:40:29,compute[00-03],4,4,/var/nfs/general,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T13:40:28,2024-02-02T13:40:28,0:0,0:53
24,admin(1000),admin(1000),hello_world,FAILED,normal,1440,2024-02-02T13:52:00,2024-02-02T13:52:00,compute[00-03],4,4,/var/nfs/general,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T13:52:00,2024-02-02T13:52:00,0:0,0:53
25,admin(1000),admin(1000),hello_world,FAILED,express,5,2024-02-02T13:59:05,2024-02-02T13:59:05,compute00,1,1,/home/admin/slurm_pratica,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-02-02T13:59:05,2024-02-02T13:59:05,0:0,0:53
26,admin(1000),admin(1000),hello_world,COMPLETED,normal,1440,2024-02-02T13:59:31,2024-02-02T13:59:32,compute[00-03],4,4,/var/nfs/general,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T13:59:31,2024-02-02T13:59:31,0:0,0:0
27,licia(1001),licia(1001),hello_world,COMPLETED,express,5,2024-02-02T14:05:04,2024-02-02T14:05:04,compute00,1,1,/home/licia/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-02-02T14:05:04,2024-02-02T14:05:04,0:0,0:0
28,licia(1001),licia(1001),hello_world,CANCELLED,normal,1440,2024-02-02T14:52:02,2024-02-02T14:52:02,(null),0,0,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T14:51:49,2024-02-02T14:51:49,0:0,0:0
29,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T14:54:46,2024-02-02T14:54:56,compute[00-03],4,4,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T14:54:45,2024-02-02T14:54:45,0:0,0:0
30,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T14:58:05,2024-02-02T14:58:15,compute[00-03],4,4,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T14:58:05,2024-02-02T14:58:05,0:0,0:0
31,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:10:03,2024-02-02T15:10:13,compute[00-03],4,4,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T15:10:03,2024-02-02T15:10:03,0:0,0:0
32,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:13:04,2024-02-02T15:13:14,compute[00-03],4,4,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T15:13:04,2024-02-02T15:13:04,0:0,0:0
33,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:14:09,2024-02-02T15:14:19,compute[00-03],4,4,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T15:14:09,2024-02-02T15:14:09,0:0,0:0
34,licia(1001),licia(1001),hello_world,FAILED,normal,1440,2024-02-02T15:15:13,2024-02-02T15:15:13,(null),0,0,/home/licia/scratch,,"cpu=4,mem=500M,node=1,billing=4",,,,unknown,2024-02-02T15:15:13,2024-02-02T15:15:13,0:0,0:1
35,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:15:28,2024-02-02T15:15:38,compute00,1,4,/home/licia/scratch,,"cpu=4,mem=500M,node=1,billing=4",,,,unknown,2024-02-02T15:15:27,2024-02-02T15:15:27,0:0,0:0
36,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:17:49,2024-02-02T15:17:59,compute[00-03],4,4,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T15:17:49,2024-02-02T15:17:49,0:0,0:0
37,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:18:32,2024-02-02T15:18:42,compute[00-03],4,4,/home/licia/scratch,,"cpu=4,mem=2000M,node=4,billing=4",,,,unknown,2024-02-02T15:18:32,2024-02-02T15:18:32,0:0,0:0
38,licia(1001),licia(1001),hello_world,FAILED,normal,1440,2024-02-02T15:18:56,2024-02-02T15:18:56,(null),0,0,/home/licia/scratch,,"cpu=4,mem=1000M,node=2,billing=4",,,,unknown,2024-02-02T15:18:56,2024-02-02T15:18:56,0:0,0:1
39,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:19:12,2024-02-02T15:19:22,compute[00-01],2,4,/home/licia/scratch,,"cpu=4,mem=1000M,node=2,billing=4",,,,unknown,2024-02-02T15:19:12,2024-02-02T15:19:12,0:0,0:0
40,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:23:41,2024-02-02T15:23:51,compute[00-01],2,8,/home/licia/scratch,,"cpu=8,mem=1000M,node=2,billing=8",,,,unknown,2024-02-02T15:23:40,2024-02-02T15:23:40,0:0,0:0
41,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:34:38,2024-02-02T15:34:38,compute[00-01],2,8,/home/licia/scratch,,"cpu=8,mem=1000M,node=2,billing=8",,,,unknown,2024-02-02T15:34:37,2024-02-02T15:34:37,0:0,0:0
42,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:35:14,2024-02-02T15:35:15,compute[00-01],2,8,/home/licia/scratch,,"cpu=8,mem=1000M,node=2,billing=8",,,,unknown,2024-02-02T15:35:14,2024-02-02T15:35:14,0:0,0:0
43,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:36:35,2024-02-02T15:36:35,compute[00-01],2,8,/home/licia/scratch,,"cpu=8,mem=28000M,node=2,billing=8",,,,unknown,2024-02-02T15:36:35,2024-02-02T15:36:35,0:0,0:0
44,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:42:25,2024-02-02T15:42:25,compute[00-01],2,8,/home/licia/scratch,,"cpu=8,mem=28000M,node=2,billing=8",,,,unknown,2024-02-02T15:42:25,2024-02-02T15:42:25,0:0,0:0
45,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:45:16,2024-02-02T15:45:16,compute[01-02],2,8,/home/licia/scratch,,"cpu=8,mem=28000M,node=2,billing=8",,,,unknown,2024-02-02T15:45:15,2024-02-02T15:45:15,0:0,0:0
46,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:51:42,2024-02-02T15:51:42,compute[01-03],3,3,/home/licia/scratch,,"cpu=3,mem=42000M,node=3,billing=3",,,,unknown,2024-02-02T15:51:41,2024-02-02T15:51:41,0:0,0:0
47,licia(1001),licia(1001),hello_world,COMPLETED,normal,1440,2024-02-02T15:52:52,2024-02-02T15:52:52,compute[01-03],3,3,/home/licia/scratch,,"cpu=3,mem=42000M,node=3,billing=3",,,,unknown,2024-02-02T15:52:52,2024-02-02T15:52:52,0:0,0:0
48,licia(1001),licia(1001),bash,COMPLETED,normal,1,2024-02-02T15:56:37,2024-02-02T15:57:22,compute01,1,1,/home/admin,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-02-02T15:56:37,2024-02-02T15:56:37,0:0,0:0
